FTR,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HM1,HM2,HM3,HM4,AM1,AM2,AM3,AM4,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,HTGD,ATGD,DiffPts,DiffFormPts,DiffLP,final1,final2
0,0.07894736842105263,0.14864864864864866,0.07894736842105263,0.14864864864864866,1.5714285714285714,1.0,3,3,0,1,1,3,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5714285714285714,0.42857142857142855,-9.0,1.0,0.0
0,0.2368421052631579,0.040540540540540536,0.2368421052631579,0.040540540540540536,1.375,0.875,1,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,-14.0,1.0,0.0
1,0.07894736842105263,0.1891891891891892,0.07894736842105263,0.1891891891891892,1.25,2.25,1,3,0,1,3,1,3,3,0,0,0,0,1,0,0,0,0.0,0.0,-1.0,-0.625,7.0,0.0,1.0
0,0.13157894736842105,0.12162162162162166,0.13157894736842105,0.12162162162162166,1.0,1.25,0,0,0,1,3,3,0,3,0,0,0,0,0,0,0,0,0.0,0.0,-0.25,-0.75,1.0,1.0,0.0
1,0.10526315789473684,0.0945945945945946,0.10526315789473684,0.0945945945945946,1.125,1.375,0,0,0,3,3,1,3,0,0,0,0,0,0,0,0,0,0.0,0.0,-0.25,0.0,3.0,0.0,1.0
1,0.17105263157894735,0.10810810810810813,0.17105263157894735,0.10810810810810813,1.625,1.375,0,0,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0.25,0.125,-10.0,0.0,1.0
1,0.17105263157894735,0.16216216216216214,0.17105263157894735,0.16216216216216214,0.875,1.0,1,1,3,1,3,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,-0.125,-0.5,-4.0,0.0,1.0
1,0.11842105263157895,0.13513513513513514,0.11842105263157895,0.13513513513513514,0.625,0.625,1,1,1,1,0,3,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-0.5,-3.0,0.0,1.0
1,0.18421052631578946,0.10810810810810813,0.18421052631578946,0.10810810810810813,1.25,1.75,3,1,1,3,3,3,3,0,0,0,0,0,0,0,0,0,0.0,0.0,-0.5,-0.375,16.0,0.0,1.0
0,0.14473684210526316,0.10810810810810813,0.14473684210526316,0.10810810810810813,0.75,0.75,3,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
1,0.07894736842105263,0.0945945945945946,0.07894736842105263,0.0945945945945946,1.0,1.0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-0.25,5.0,0.0,1.0
0,0.06578947368421052,0.20270270270270271,0.06578947368421052,0.20270270270270271,0.7777777777777778,1.1111111111111112,1,1,0,1,1,3,1,1,0,0,0,0,0,0,0,0,0.0,0.0,-0.3333333333333333,-0.4444444444444444,-1.0,1.0,0.0
0,0.18421052631578946,0.13513513513513514,0.18421052631578946,0.13513513513513514,2.1111111111111107,0.6666666666666666,0,3,1,3,0,1,1,1,0,0,0,0,0,0,1,0,0.0,0.0,1.4444444444444444,1.0,-15.0,1.0,0.0
0,0.09210526315789473,0.08108108108108109,0.09210526315789473,0.08108108108108109,1.0,1.2222222222222223,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0.0,0.0,-0.2222222222222222,0.0,1.0,1.0,0.0
1,0.10526315789473684,0.14864864864864866,0.10526315789473684,0.14864864864864866,1.5555555555555556,1.0,3,3,1,3,3,3,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.5555555555555556,0.2222222222222222,-2.0,0.0,1.0
0,0.11842105263157895,0.13513513513513514,0.11842105263157895,0.13513513513513514,1.3333333333333333,1.0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.3333333333333333,0.3333333333333333,3.0,1.0,0.0
