FTR,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HM1,HM2,HM3,HM4,HM5,AM1,AM2,AM3,AM4,AM5,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,HTGD,ATGD,DiffPts,DiffFormPts,DiffLP
NH,0.10526315789473684,0.10810810810810811,0.10526315789473684,0.10810810810810811,0.4,0.8,D,L,D,L,M,L,D,W,L,M,0,0,0,0,0,0,0,0,0.0,0.0,-0.4,-0.4,-5.0
NH,0.07894736842105263,0.10810810810810811,0.07894736842105263,0.10810810810810811,0.6,0.0,W,L,L,L,M,L,L,L,L,M,0,0,0,0,0,0,0,0,0.0,0.0,0.6,0.6,-7.0
NH,0.06578947368421052,0.14864864864864866,0.06578947368421052,0.14864864864864866,1.0,2.0,D,W,L,D,M,W,W,W,D,M,0,0,0,0,0,0,0,0,0.0,0.0,-1.0,-1.0,6.0
H,0.013157894736842105,0.06756756756756757,0.013157894736842105,0.06756756756756757,1.0,1.0,D,L,W,D,M,L,D,D,W,M,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-12.0
H,0.039473684210526314,0.04054054054054054,0.039473684210526314,0.04054054054054054,0.8,1.2,D,L,W,L,M,D,D,W,D,M,0,0,0,0,0,0,0,0,0.0,0.0,-0.4,-0.4,-7.0
H,0.10526315789473684,0.0945945945945946,0.10526315789473684,0.0945945945945946,2.4,1.4,W,W,W,W,M,W,D,L,W,M,0,0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,-17.0
H,0.07894736842105263,0.04054054054054054,0.07894736842105263,0.04054054054054054,1.6,1.0,D,W,D,W,M,D,W,L,D,M,0,0,0,0,0,0,0,0,0.0,0.0,0.6,0.6,-5.0
NH,0.13157894736842105,0.06756756756756757,0.13157894736842105,0.06756756756756757,0.8,1.0,D,W,L,L,M,D,L,W,D,M,0,0,0,0,0,0,0,0,0.0,0.0,-0.2,-0.2,13.0
NH,0.17105263157894737,0.08108108108108109,0.17105263157894737,0.08108108108108109,1.8333333333333333,1.1666666666666667,D,W,W,W,D,W,D,L,W,L,0,0,0,0,0,0,0,0,0.0,0.0,0.6666666666666666,0.6666666666666666,-7.0
NH,0.039473684210526314,0.14864864864864866,0.039473684210526314,0.14864864864864866,1.0,0.6666666666666666,L,D,D,W,D,L,D,W,L,L,0,0,0,0,0,0,0,0,0.0,0.0,0.3333333333333333,0.3333333333333333,2.0
NH,0.11842105263157894,0.06756756756756757,0.11842105263157894,0.06756756756756757,1.1666666666666667,0.8333333333333334,L,W,D,L,W,D,D,L,L,W,0,0,0,0,0,0,0,0,0.0,0.0,0.3333333333333333,0.3333333333333333,4.0
NH,0.09210526315789473,0.10810810810810811,0.09210526315789473,0.10810810810810811,1.1666666666666667,0.3333333333333333,D,W,D,D,D,L,D,L,D,L,0,0,0,0,0,0,0,0,0.0,0.0,0.8333333333333334,0.8333333333333334,1.0
NH,0.06578947368421052,0.08108108108108109,0.06578947368421052,0.08108108108108109,0.8333333333333334,1.0,L,D,W,L,D,D,D,W,L,D,0,0,0,0,0,0,0,0,0.0,0.0,-0.16666666666666666,-0.16666666666666666,-4.0
H,0.07894736842105263,0.16216216216216217,0.07894736842105263,0.16216216216216217,1.3333333333333333,2.5,W,D,L,W,D,W,W,W,W,W,0,0,0,0,1,1,0,0,0.0,0.0,-1.1666666666666667,-1.1666666666666667,1.0
H,0.11842105263157894,0.05405405405405406,0.11842105263157894,0.05405405405405406,0.16666666666666666,1.3333333333333333,D,L,L,L,L,W,D,L,W,D,0,0,1,0,0,0,0,0,0.0,0.0,-1.1666666666666667,-1.1666666666666667,15.0
NH,0.07894736842105263,0.12162162162162163,0.07894736842105263,0.12162162162162163,1.0,1.8333333333333333,D,L,D,W,D,W,D,W,D,W,0,0,0,0,0,0,0,0,0.0,0.0,-0.8333333333333334,-0.8333333333333334,13.0
NH,0.11842105263157894,0.0945945945945946,0.11842105263157894,0.0945945945945946,1.1666666666666667,0.6666666666666666,W,L,D,W,L,D,W,L,L,L,0,0,0,0,0,0,1,0,0.0,0.0,0.5,0.5,-1.0
NH,0.07894736842105263,0.06756756756756757,0.07894736842105263,0.06756756756756757,0.8333333333333334,1.1666666666666667,L,L,D,D,W,D,L,W,L,W,0,0,0,0,0,0,0,0,0.0,0.0,-0.3333333333333333,-0.3333333333333333,8.0
NH,0.039473684210526314,0.12162162162162163,0.039473684210526314,0.12162162162162163,1.0,0.42857142857142855,D,L,D,D,W,D,L,D,L,D,0,0,0,0,0,0,0,0,0.0,0.0,0.5714285714285714,0.42857142857142855,11.0
H,0.10526315789473684,0.08108108108108109,0.10526315789473684,0.08108108108108109,1.0,1.1428571428571428,W,D,W,L,L,W,D,D,L,L,0,0,0,0,0,0,0,0,0.0,0.0,-0.14285714285714285,0.2857142857142857,-2.0
NH,0.09210526315789473,0.14864864864864866,0.09210526315789473,0.14864864864864866,1.0,1.7142857142857142,D,D,D,W,L,D,W,D,W,D,0,0,0,0,0,0,0,0,0.0,0.0,-0.7142857142857143,-0.42857142857142855,9.0
H,0.06578947368421052,0.08108108108108109,0.06578947368421052,0.08108108108108109,1.1428571428571428,1.4285714285714286,L,W,D,L,W,W,D,L,W,L,0,0,0,0,0,0,0,0,0.0,0.0,-0.2857142857142857,0.0,-4.0
NH,0.09210526315789473,0.10810810810810811,0.09210526315789473,0.10810810810810811,1.4285714285714286,1.0,W,W,D,L,W,D,D,L,D,W,0,0,0,0,0,0,0,0,0.0,0.0,0.42857142857142855,0.5714285714285714,-3.0
NH,0.11842105263157894,0.0945945945945946,0.11842105263157894,0.0945945945945946,0.5714285714285714,1.1428571428571428,W,D,L,L,L,D,D,W,D,D,0,0,1,0,0,0,0,0,0.0,0.0,-0.5714285714285714,-0.42857142857142855,12.0
H,0.15789473684210525,0.10810810810810811,0.15789473684210525,0.10810810810810811,0.7142857142857143,0.7142857142857143,D,L,D,W,L,L,L,L,D,D,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.42857142857142855,-1.0
H,0.15789473684210525,0.21621621621621623,0.15789473684210525,0.21621621621621623,2.142857142857143,1.5714285714285714,L,W,W,W,W,L,D,W,W,W,1,0,0,0,1,0,0,0,0.0,0.0,0.5714285714285714,0.2857142857142857,-2.0
NH,0.09210526315789473,0.16216216216216217,0.09210526315789473,0.16216216216216217,0.8571428571428571,1.0,D,L,D,W,L,L,L,W,D,L,0,0,0,0,0,0,0,0,0.0,0.0,-0.14285714285714285,0.14285714285714285,-13.0
H,0.07894736842105263,0.14864864864864866,0.07894736842105263,0.14864864864864866,1.5714285714285714,1.0,W,W,D,L,W,L,W,L,D,W,0,0,0,0,0,0,0,0,0.0,0.0,0.5714285714285714,0.42857142857142855,-9.0
H,0.23684210526315788,0.04054054054054054,0.23684210526315788,0.04054054054054054,1.375,0.875,L,L,D,W,W,L,D,L,D,D,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,-14.0
NH,0.07894736842105263,0.1891891891891892,0.07894736842105263,0.1891891891891892,1.25,2.25,L,W,D,L,W,W,L,W,W,W,0,0,0,0,1,0,0,0,0.0,0.0,-1.0,-0.625,7.0
H,0.13157894736842105,0.12162162162162163,0.13157894736842105,0.12162162162162163,1.0,1.25,D,D,D,L,D,W,W,D,W,L,0,0,0,0,0,0,0,0,0.0,0.0,-0.25,-0.75,1.0
NH,0.10526315789473684,0.0945945945945946,0.10526315789473684,0.0945945945945946,1.125,1.375,D,D,D,W,D,W,L,W,D,L,0,0,0,0,0,0,0,0,0.0,0.0,-0.25,0.0,3.0
NH,0.17105263157894737,0.10810810810810811,0.17105263157894737,0.10810810810810811,1.625,1.375,D,D,W,D,W,D,W,W,D,L,0,0,0,0,0,0,0,0,0.0,0.0,0.25,0.125,-10.0
NH,0.17105263157894737,0.16216216216216217,0.17105263157894737,0.16216216216216217,0.875,1.0,L,L,W,L,D,W,D,L,D,W,0,0,0,0,0,0,0,0,0.0,0.0,-0.125,-0.5,-4.0
NH,0.11842105263157894,0.13513513513513514,0.11842105263157894,0.13513513513513514,0.625,0.625,L,L,L,L,D,D,W,D,L,L,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-0.5,-3.0
NH,0.18421052631578946,0.10810810810810811,0.18421052631578946,0.10810810810810811,1.25,1.75,W,L,L,W,D,W,W,W,D,L,0,0,0,0,0,0,0,0,0.0,0.0,-0.5,-0.375,16.0
H,0.14473684210526316,0.10810810810810811,0.14473684210526316,0.10810810810810811,0.75,0.75,W,D,L,D,L,L,D,L,D,W,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0
NH,0.07894736842105263,0.0945945945945946,0.07894736842105263,0.0945945945945946,1.0,1.0,L,W,D,D,L,D,D,D,D,W,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-0.25,5.0
H,0.06578947368421052,0.20270270270270271,0.06578947368421052,0.20270270270270271,0.7777777777777778,1.1111111111111112,L,L,D,L,D,L,W,L,L,W,0,0,0,0,0,0,0,0,0.0,0.0,-0.3333333333333333,-0.4444444444444444,-1.0
H,0.18421052631578946,0.13513513513513514,0.18421052631578946,0.13513513513513514,2.111111111111111,0.6666666666666666,D,W,L,W,W,D,L,L,L,L,0,0,0,0,0,0,1,0,0.0,0.0,1.4444444444444444,1.0,-15.0
H,0.09210526315789473,0.08108108108108109,0.09210526315789473,0.08108108108108109,1.0,1.2222222222222223,D,D,D,D,D,D,L,W,D,L,0,0,0,0,0,0,0,0,0.0,0.0,-0.2222222222222222,0.0,1.0
NH,0.10526315789473684,0.14864864864864866,0.10526315789473684,0.14864864864864866,1.5555555555555556,1.0,W,W,L,W,D,W,W,D,L,D,0,0,0,0,0,0,0,0,0.0,0.0,0.5555555555555556,0.2222222222222222,-2.0
